;Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23)
19;44,73501;;;;;;;;108,221734;51,0055055;;114,851885;132,8846;95,1312545;77,7001168;109,752665;115,7054;118,3761;57,7948;117,5584;;93,26995;;;;;;;;;149,0634;;;;162,844913;;111,340766;112,9722;105,3962;97,44357;142,1275;94,60415;90,92395;133,2371;100,527;117,7354;117,5485;83,89189;115,9489;175,0242;111,7165;120,7159;104,7909;95,9658;110,7978;102,1615;124,8167;;;
20;74,05404;;;;;;;;92,8442735;101,0675;;118,582213;117,595;88,7080267;81,8197377;108,154381;87,99713;121,9356;62,5712;112,5146;;83,72299;;;;;;;;;150,4124;;;;181,175631;;129,836248;106,2619;133,215;132,9702;129,4596;107,3629;96,23265;124,0879;99,18591;117,9556;112,2317;82,17101;120,284;146,0131;100,4649;115,2713;99,10817;100,0653;101,5316;103,6546;121,4718;;;
21;29,29377;;;;;;;;82,9349937;42,39827;;103,228914;136,3621;117,108181;93,0125067;109,543013;83,44333;105,2997;61,40525;109,4393;;92,19337;;;;;;;;;168,2444;;;;181,154647;;131,947795;109,1006;109,1256;126,6893;144,6455;103,2338;92,44747;128,655;105,598;93,91031;114,7262;82,53973;123,76;183,5234;107,4233;97,62945;96,92619;107,6108;117,7492;108,4514;134,6;;;
22;;;;;;;;;81,1414669;54,5488743;;123,906166;148,9416;117,176762;134,076615;119,135628;81,02347;122,6438;113,6135;98,23454;;93,61163;;;;;;;;;100,6547;;;;196,150918;;154,561959;115,9312;137,7966;146,1116;155,0976;100,8848;91,97106;142,5341;126,6589;72,48269;145,5701;91,25598;121,6248;175,6593;100,7884;101,235;95,32702;106,3688;106,4657;106,6907;136,4902;;;
23;;;;;;;;;78,726702;40,6841024;;111,354116;140,6045;139,491129;155,501609;147,422764;81,75982;109,5549;68,64988;107,1138;;86,06744;;;;;;;;;169,2751;;;;167,834965;;137,141306;121,0917;117,4338;162,3715;130,8009;93,27118;84,48511;140,7154;140,4137;86,96535;134,4803;92,97734;121,8406;161,0906;110,5435;107,9407;91,99432;95,81164;124,9665;117,3335;117,3729;;;
24;;;;;;;;;79,1508731;50,289019;;130,420428;150,2047;131,153849;157,614583;137,082191;84,52729;113,9169;97,85311;102,4474;;92,80875;;;;;;;;;120,3859;;;;189,375951;;142,655966;129,8194;115,9719;133,7106;137,8282;100,0739;95,31776;128,1659;161,1787;89,34444;127,1707;83,48699;138,3524;172,4722;112,5507;139,658;100,2295;96,98175;108,9925;105,9161;152,1275;;;
25;;;;;;;;;76,5170484;80,5921059;;113,497207;149,3808;156,341296;158,488365;116,442635;96,8687;128,1133;61,06608;115,2478;;84,41371;;;;;;;;;175,8059;;;;196,748519;;157,180034;125,5995;132,5338;174,7129;124,5772;102,7604;89,95071;109,1448;186,2558;90,2254;165,9462;93,13229;103,5122;167,7678;108,9019;114,4569;87,40997;105,5489;116,1532;102,894;132,9458;;;
26;;;;;;;;;80,0661431;162,940808;;105,651149;159,9097;135,186208;160,265616;138,78101;105,0867;117,5057;51,82009;106,9554;;93,93609;;;;;;;;;198,2055;;;;161,112712;;135,679157;;88,16934;102,7532;134,0691;106,4605;93,55197;101,4429;182,7361;75,34487;150,9936;86,84463;124,0459;168,6237;108,0614;93,7785;99,57536;104,2018;107,624;103,6127;144,2739;;;
27;;;;;;;;;85,7157359;118,139892;;113,854108;146,8415;125,327655;139,401225;118,045808;113,5842;118,354;83,06226;106,9131;;95,33825;;;;;;;;;173,2803;;;;156,536524;;122,052861;;94,27362;90,59245;132,4522;97,58669;88,43901;106,4984;178,4654;83,24746;136,7212;82,31581;108,4901;179,4925;101,5128;112,0503;95,73139;119,3891;114,8711;111,3008;141,5234;;;
28;;;;;;;;;79,5616594;49,6720577;;100,156782;153,6749;126,611928;111,390318;116,410151;114,3807;102,3035;89,42132;105,5876;;91,59265;;;;;;;;;141,4816;;;;149,415343;;107,366047;;122,2644;98,49108;149,6958;84,78067;90,34425;90,80599;159,2584;84,51731;163,1038;85,6529;126,4859;166,6738;108,6982;110,646;88,74041;109,6211;123,4625;105,2737;125,8302;;;
